system:index,IDDIST,mean
00000000000000000538,022008,4.372829630289639
0000000000000000058d,022007,8.66178158727527
000000000000000003b4,030106,8.899850556606154
000000000000000003bd,030102,7.782790463483226
000000000000000003cc,030103,6.632893438230594
000000000000000003d3,030107,10.125937936436879
000000000000000003d8,030101,11.236962889767657
000000000000000003d9,030109,10.616504622060322
0000000000000000043a,030104,7.93112418350646
00000000000000000488,030108,10.759846616960477
00000000000000000491,030105,12.809028569405127
00000000000000000102,030204,8.809840754772216
00000000000000000174,030211,8.317971952389852
000000000000000001b1,030201,7.634981877438111
000000000000000001b2,030213,7.359686000456293
000000000000000001b4,030215,10.237548668782207
000000000000000001cc,030210,6.190955539732864
00000000000000000218,030207,6.933063051756801
000000000000000003a2,030206,8.747728650473078
000000000000000003a4,030214,8.74380460493777
000000000000000003a9,030212,11.656800811826345
000000000000000003ac,030218,8.39287539464207
000000000000000003b1,030205,10.286453333155407
000000000000000003c1,030217,7.545318171167262
000000000000000003c3,030203,9.765977395085292
000000000000000003da,030209,9.428825446396695
0000000000000000040b,030216,9.344580057752156
00000000000000000444,030219,11.612928575585363
00000000000000000464,030202,10.872522827035443
0000000000000000048c,030208,11.188040231904832
00000000000000000733,030220,6.634028003611151
000000000000000001c6,030306,6.918354438519212
000000000000000001cd,030302,7.629297466661436
00000000000000000368,030303,5.621539752093223
0000000000000000036a,030307,6.242367377653046
00000000000000000372,030304,2.8827639011725816
00000000000000000375,030301,3.273788362743721
00000000000000000390,030305,2.986028388866513
0000000000000000016d,030402,7.219723981381675
000000000000000001bf,030410,7.643301234585617
000000000000000001c1,030417,7.852069175194113
000000000000000001c5,030412,5.526411705058844
000000000000000001c7,030413,8.234835446192124
00000000000000000374,030406,4.669659856376688
00000000000000000376,030403,4.654992413638133
0000000000000000037e,030407,8.776387280784952
0000000000000000037f,030408,9.371808666880527
00000000000000000380,030414,9.658530887494964
00000000000000000392,030401,6.555847826700604
0000000000000000039f,030416,7.05103138119354
000000000000000003a5,030404,10.291736751448186
000000000000000003b7,030405,8.272559205813657
000000000000000003c5,030411,9.041469086424417
000000000000000003c6,030409,7.900386448975942
000000000000000003cb,030415,10.372111282090982
00000000000000000172,030506,5.081901485797395
000000000000000001cb,030504,5.495792608065088
000000000000000003ae,030501,6.69690176796671
000000000000000003bb,030505,8.865452024170155
000000000000000003cd,030503,7.653175130233918
000000000000000003d4,030502,8.415491058369168
000000000000000000c2,030607,12.197716678884124
000000000000000001e7,030604,13.337565922554292
000000000000000003d7,030603,11.984779700817894
0000000000000000040a,030608,8.893387669453626
0000000000000000043c,030602,10.001603562100549
00000000000000000443,030601,11.31131373653922
00000000000000000468,030606,10.430831939847701
00000000000000000492,030605,8.723537182191727
00000000000000000740,030609,9.220980241539962
00000000000000000741,030610,9.629316654080151
00000000000000000744,030611,12.051046556689023
0000000000000000016a,030710,6.951788246392853
0000000000000000016e,030712,8.20462230520144
0000000000000000016f,030706,6.989600875822055
000000000000000001be,030707,6.042781973574683
0000000000000000036b,030713,4.169711122270149
00000000000000000382,030714,7.450038423801677
00000000000000000385,030708,6.3157588053240135
00000000000000000388,030701,5.83151246598804
00000000000000000395,030705,5.252310557154492
00000000000000000398,030711,4.471127442429723
0000000000000000039a,030709,6.857049540143931
000000000000000003a8,030703,7.11006274500815
000000000000000003bc,030704,8.676342156624225
000000000000000003be,030702,7.036182793574426
0000000000000000004d,040115,13.35735037724613
00000000000000000050,040127,15.198615115263388
00000000000000000051,040114,13.703967030991453
00000000000000000052,040111,13.91349347987723
00000000000000000058,040122,14.966231516558892
00000000000000000059,040113,11.676564454292585
